"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"f3c36f2f-734a-4d12-8cef-e6403b2d7f5c","dorvm6vtatvrtt.tei.xml","sarmatorum","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::8;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::18","PLACE","http://pleiades.stoa.org/places/207424","Sarmates|Sarmates, Gornje Vidovo?","-0030/0640","43.786788","21.408727","station","VERIFIED","@cert:high","","",""
"c93c8a25-2b79-40a4-8282-f5a16b759227","dorvm6vtatvrtt.tei.xml","caminitas","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::37;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::46","PLACE","http://pleiades.stoa.org/places/207006","‘Cametas’|‘Cametas’, Ražanj?","-0030/0640","43.673017","21.54862","station","VERIFIED","@cert:high","","",""
"0e513c0c-e254-4552-846d-5f8c88b6c631","dorvm6vtatvrtt.tei.xml","ipompeis","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::69;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::77","PLACE","http://pleiades.stoa.org/places/207363","Praesidium Pompei|Praesidium Pompei, Rutevac, Aleksinac","-0030/0640","43.591955","21.610451","station","VERIFIED","@cert:high","","",""
"bbee2509-d577-47cc-8dd4-082baa2d4a68","dorvm6vtatvrtt.tei.xml","rampiana","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::98;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::106","PLACE","http://pleiades.stoa.org/places/207156","Gramrianae|Gramrianae, Draževac, Aleksinac","-0030/0640","43.449749","21.790465","station","VERIFIED","@cert:high","","",""
"64beecca-2f8b-4520-8f0c-27dcadeafec4","dorvm6vtatvrtt.tei.xml","naisso","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::125;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::131","PLACE","http://pleiades.stoa.org/places/207303","Naissus|Naissus, Niš","-0030/2100","43.3206","21.8927","settlement","VERIFIED","@cert:high","","",""
"2c212afc-3a5a-42f8-8e5a-4b09166aa44a","dorvm6vtatvrtt.tei.xml","redicibus","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::150;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::159","PLACE","http://pleiades.stoa.org/places/207373","*Radices|*Radices, Jelašnica?","-0030/0640","43.301181","22.050333","station","VERIFIED","@cert:high","","",""
"a286b1f9-1671-468b-9642-7fb130750054","dorvm6vtatvrtt.tei.xml","vlmo","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::178;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::182","PLACE","http://pleiades.stoa.org/places/207526","‘Ulmo’|‘Ulmo’, Ostrovica, Niška Banja","-0030/0640","43.334995","22.122538","station","VERIFIED","@cert:high","","",""
"e34ee5e3-2a36-4b9b-875b-f5ca40fc1883","dorvm6vtatvrtt.tei.xml","romansiana","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::200;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::210","PLACE","http://pleiades.stoa.org/places/207382","Remesiana|Remesiana, Bela Palanka","-0030/0640","43.21804","22.31138","settlement","VERIFIED","@cert:high","","",""
"8bcb367a-0e79-476d-968d-b99486de1579","dorvm6vtatvrtt.tei.xml","latina","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::231;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::237","PLACE","http://pleiades.stoa.org/places/207235","Latina|Latina, Telovac, Crnoklište","-0030/0640","43.196933","22.408397","station","VERIFIED","@cert:high","","",""
"49013bfc-6350-4db8-a8d8-b97789848bea","dorvm6vtatvrtt.tei.xml","turribus","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::257;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::265","PLACE","http://pleiades.stoa.org/places/207521","Turres|Turres, Pirot","-0030/0640","43.15771","22.58733","station","VERIFIED","@cert:high","","",""
"92c77b51-eb98-44c1-b5bf-e8ef9126ce9e","dorvm6vtatvrtt.tei.xml","translitis","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::286;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::296","PLACE","http://pleiades.stoa.org/places/207509","‘Translitis’|‘Translitis’, Dimitrovgrad","-0030/0640","43.01454","22.77965","station","VERIFIED","@cert:high","","",""
"ecc81455-0ee0-4e47-aa73-aa2f1767df97","dorvm6vtatvrtt.tei.xml","ballanstra","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::315;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::325","PLACE","http://pleiades.stoa.org/places/206955","Ballanstra|Ballanstra, Kalotina","-0030/0640","42.99402509999999","22.868180100000018","station","VERIFIED","@cert:high","","",""
"9f1f5cdc-1f3f-42e9-afbc-ed5c4d7c16f2","dorvm6vtatvrtt.tei.xml","meldia","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::341;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::347","PLACE","http://pleiades.stoa.org/places/207275","Meldia|Meldia, Dragoman","-0030/0640","42.921675","22.92984","station","VERIFIED","@cert:high","","",""
"dd0dbc69-0927-49f2-a509-1df6af50c967","dorvm6vtatvrtt.tei.xml","scretisca","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::368;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::377","PLACE","http://pleiades.stoa.org/places/207435","Scretisca|Scretisca, Kostinbrod","-0030/0640","42.8130176","23.2154337","station","VERIFIED","@cert:high","","",""
"fa7c8f64-c18f-4ebb-bc52-4317556d2489","dorvm6vtatvrtt.tei.xml","serdica","from=/TEI[1]/text[1]/body[1]/div[3]/p[9]::402;to=/TEI[1]/text[1]/body[1]/div[3]/p[9]::409","PLACE","http://pleiades.stoa.org/places/207439","Serdica|Serdica, Sofia","-0030/2100","42.6976489","23.3221545","settlement","VERIFIED","@cert:high","","",""
"495a87a9-6a33-475c-9b71-2289a1a0f804","dorvm6vtatvrtt.tei.xml","sirmium","from=/TEI[1]/text[1]/body[1]/div[3]/p[10]::6;to=/TEI[1]/text[1]/body[1]/div[3]/p[10]::13","PLACE","http://pleiades.stoa.org/places/207447","Circus, Sremska Mitrovica|Sirmium|Sirmium, Sremska Mitrovica|Sremska Mitrovica","-0030/2100","44.96775","19.61028","settlement","VERIFIED","@cert:high","","",""
"65cedb6c-cc2d-428c-93ef-fe9bf6cc8c37","dorvm6vtatvrtt.tei.xml","serdica","from=/TEI[1]/text[1]/body[1]/div[3]/p[10]::14;to=/TEI[1]/text[1]/body[1]/div[3]/p[10]::21","PLACE","http://pleiades.stoa.org/places/207439","Serdica|Serdica, Sofia","-0030/2100","42.6976489","23.3221545","settlement","VERIFIED","@cert:high","","",""
"19650814-23d4-4202-9b2b-d8fd78e3a445","dorvm6vtatvrtt.tei.xml","extuomne","from=/TEI[1]/text[1]/body[1]/div[3]/p[10]::87;to=/TEI[1]/text[1]/body[1]/div[3]/p[10]::95","PLACE","http://pleiades.stoa.org/places/481835","‘Extuomne’|‘Extuomne’, Kazichene","-0030/0640","42.6593666","23.4647832","station","VERIFIED","@cert:high","","",""
"d2d163cf-50eb-45b5-8290-2c02fa8ba4ed","dorvm6vtatvrtt.tei.xml","buragara","from=/TEI[1]/text[1]/body[1]/div[3]/p[10]::114;to=/TEI[1]/text[1]/body[1]/div[3]/p[10]::122","PLACE","http://pleiades.stoa.org/places/481775","Burgaraca|Burgaraca, Lesnovo","-0030/0640","42.649254","23.619393","station","VERIFIED","@cert:high","","",""
